title_spotify,artist_spotify,id_spotify,match_score,image
Kriminal-Tango,['Ralf Bendix'],2FUTbwCeytKBfghBrlWF3C,1.000000238418579,https://i.scdn.co/image/ab67616d0000b2733622e91b8f0c02ef7f845147
Va Bene,"['Peter Kraus', 'Aimé Barelli']",0NBMLyIFLKmZQbjMhoeRpQ,0.8752333521842957,https://i.scdn.co/image/ab67616d0000b273e62724ba5a509047d895a1c1
Muli-Song,['Ivo Robic'],49UjQpAoWCfoqrfvQFIGPU,1.0,https://i.scdn.co/image/ab67616d0000b273a00c94cc1cf7416aee767ad2
Schlafe Mein Prinzchen,"[""Papa Bue's Viking Jazzband""]",0SwvN8SQBx728qJDqjByPl,0.9999999403953552,https://i.scdn.co/image/ab67616d0000b2739422e2e1447cf4b23441ff07
Milord,['Corry Brokken'],0rxn7fS0WHPoNR1i07Wqch,1.0,https://i.scdn.co/image/ab67616d0000b273e1a5fff4ae4d4e32afbd1370
Souvenirs,['Bill Ramsey'],4nAWtfiTcpzQKkrWRghjbA,0.9743927717208862,https://i.scdn.co/image/ab67616d0000b2737a6f3a3f5766af737502d96e
Tiger,['Peter Kraus'],5qGtKbvIBp8iT6L6Fmdqcf,1.0,https://i.scdn.co/image/ab67616d0000b27347cc090a91caa59d984edad9
Komm zurück in das Tal unserer Träume (Red River Rock),['Friedel Hensch & Die Cyprys'],717U9bFbf8phSOG3T6Z2Rk,0.9483626484870911,https://i.scdn.co/image/ab67616d0000b2738a17307b748f0a3f391ad749
Tränen in deinen Augen (Chi Chi),['Ralf Paulsen'],6Vs7jSHLTIkIKTd2srR85w,0.9047988653182983,https://i.scdn.co/image/ab67616d0000b273c3b9421f985a6240b6f6f05f
Chi Chi,"['John Buck', 'The Blazers']",0LKb9nZk4ir2p5CNVtrdAU,0.9879552721977234,https://i.scdn.co/image/ab67616d0000b2735c3c807b655b55bb47438f26
Wenn die Glocken hell erklingen,['Wolfgang Sauer'],6HA4HxtOe5sUNCKBkUVxcB,1.0,https://i.scdn.co/image/ab67616d0000b273648af7e876707366d5fdbe45
Wenn die Glocken hell erklingen,['Lys Assia'],4fgwU6Bt3lWTTWSJcM3oZ1,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273c87a09bee13003eb52ebea09
Weit ist der Weg - EP Version,['Freddy Quinn'],3pCyo5gjeNVpj3b2JWqEQg,0.9027324914932251,https://i.scdn.co/image/ab67616d0000b273930c8dd0203987fcfd74bd16
Irgendwann gibt's ein Wiedersehen,['Freddy Quinn'],6gw1LJthPt5zqItXwvFPJ7,0.9749209880828857,https://i.scdn.co/image/ab67616d0000b2737bc9d38fa4032e78dc6c5ad5
Leila,['Regento Stars'],2X7hpnhX0s2VaojyZJFrjI,0.9203767776489258,https://i.scdn.co/image/ab67616d0000b273ba0af9c8a7e35e9037efe352
Ich steh' an der Bar und habe kein Geld,['Bobbejaan & seine Gitarre'],1w3FqjAeifIZZ8aIfvRAnw,0.994780957698822,https://i.scdn.co/image/ab67616d0000b273cff6eb2e57910912138a589d
Mister Blue,['Detlef Engel'],7rLIVz5bKpVpMNiDs5U9QR,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b2739df8be8f7c3d990359e39dea
Midi-Midinette,['Conny Froboess'],2qUlAIxH52h49cE76yzuFt,0.981016993522644,https://i.scdn.co/image/ab67616d0000b273ce882dddc9ad55dec864f28e
