artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10
Rocco Granata,Marina,334,1,1,1959,1960,22
Will Brandes,Marina,334,2,1,1959,1960,22
Jan & Kjeld,Banjo Boy,329,3,1,1960,1960,30
Heidi Brühl,Wir wollen niemals auseinandergeh'n,329,4,1,1960,1960,27
Freddy (Freddy Quinn),Unter fremden Sternen (fährt ein weißes Schiff nach Hongkong),238,5,2,1959,1960,22
Edith Piaf,Milord,232,6,1,1960,1960,21
Dalida,Milord,232,7,1,1960,1960,21
Lolita,Seemann... (Deine Heimat ist das Meer),206,8,2,1960,1960,22
Dutch Swing College Band,Milord,180,9,1,1960,1960,13
Ted Herold,Moonlight,161,10,1,1960,1960,22
Elvis Presley,O Sole Mio (It's Now Or Never),160,11,2,1960,1960,13
Guy Mitchell,Heartaches By The Number,159,12,2,1960,1960,17
Peter Alexander,Ich zähle täglich meine Sorgen,159,13,2,1960,1960,17
Vico Torriani,Kalkutta liegt am Ganges,151,14,2,1960,1960,17
Caterina Valente,Ein Schiff wird kommen (Hafen von Piräus),144,15,1,1960,1960,8
Melina Mercouri,Ein Schiff wird kommen,144,16,1,1960,1960,8
Lale Andersen,Ein Schiff wird kommen,144,17,1,1960,1960,8
Billy Vaughn and his Orchestra,Morgen,139,18,2,1959,1960,13
Ivo Robic,Morgen,139,19,2,1959,1960,13
Leo Leandros,Mustafa,133,20,2,1960,1960,13
Jolly Sisters,Everybody's Somebody's Fool,131,21,3,1960,1960,13
Connie Francis,Die Liebe ist ein seltsames Spiel,131,22,3,1960,1960,13
Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,130,23,1,1960,1960,13
Club Honolulu (Caterina Valente & Silvio Francesco),Itsy Bitsy Teenie Weenie Honolulu-Strand-Bikini,130,24,1,1960,1960,13
Johnny & The Hurricanes,Red River Rock,124,25,3,1959,1960,22
Gerd Böttcher,Ich komme wieder,120,26,2,1960,1960,8
Freddy (Freddy Quinn),Melodie der Nacht,116,27,4,1960,1960,17
Marianne Vasel & Marianne Opitz & Erich Storz,Hohe Tannen,113,28,6,1960,1960,26
Das Hellberg-Duo,Hohe Tannen (Das Rübezahllied),113,29,6,1960,1960,26
Rene Carol,Kein Land kann schöner sein,108,30,3,1960,1960,14
Jimmy Makulis,Gitarren klingen leise durch die Nacht,102,31,4,1959,1960,17
Jack Terry,Marina,100,32,2,1960,1960,9
Die Honey Twins,Banjo Boy,90,33,1,1960,1960,5
Hazy Osterwald-Sextett,Kriminal-Tango,72,34,4,1959,1960,9
Ralf Bendix,Kriminal-Tango,72,35,4,1959,1960,9
Peter Kraus (Rex Gildo),Va Bene,64,36,6,1960,1960,13
Ivo Robic,Muli-Song,57,37,7,1960,1960,13
Papa Bue's Viking Jazzband,"Schlafe, mein Prinzchen",56,38,8,1960,1960,17
Corry Brokken,Milord,52,39,5,1960,1960,8
Bill Ramsey,"Souvenirs, Souvenirs",51,40,5,1959,1960,13
Peter Kraus,Tiger,48,41,8,1959,1960,13
Friedel Hensch & Die Cypris,Red River Rock (Komm zurück in das Tal meiner Träume),42,42,4,1960,1960,9
Ralf Paulsen,Tränen in deinen Augen,40,43,7,1959,1960,8
John Buck & His Blazers,Chi Chi,40,44,7,1959,1960,8
Wolfgang Sauer,Wenn die Glocken hell erklingen,37,45,7,1959,1960,9
Lys Assia,Wenn die Glocken hell erklingen,37,46,7,1959,1960,9
Freddy (Freddy Quinn),Weit ist der Weg,32,47,4,1960,1960,4
Freddy (Freddy Quinn),Irgendwann gibt's ein Wiedersehen,30,48,7,1960,1960,9
Bruno Majcherek & The Regento Stars,Leila,25,49,7,1960,1960,5
Bobbejaan und seine Gitarre,Ich steh' an der Bar und habe kein Geld,20,50,9,1960,1960,8
Detlef Engel,Mister Blue,20,51,7,1960,1960,4
Conny (Conny Froboess),Midi-Midinette,18,52,10,1960,1960,9
Willy Hagara,Freunde fürs Leben,16,53,8,1960,1960,4
Lou van Burg,Freunde fürs Leben,16,54,8,1960,1960,4
Eichner-Duo,Der alte Lumpensammler,15,55,9,1959,1960,5
Caterina Valente,Einen Ring mit zwei blutroten Steinen,12,56,9,1960,1960,4
Laurie London,Bum-Ladda-Bum-Bum,8,57,10,1960,1960,4
Blue Diamonds,Ramona,306,1,1,1960,1961,22
Billy Vaughn and his Orchestra,Wheels,294,2,1,1961,1961,17
Ralf Bendix & Klein-Elisabeth,Babysitter Boogie,267,3,1,1961,1961,17
Buzz Clifford,Babysitter-Boogie (Baby Sittin' Boogie),267,4,1,1961,1961,17
Trio Kolenka,"Vier Schimmel, ein Wagen (Hüh-A-Hoh)",266,5,1,1961,1961,17
String-A-Longs,Wheels,222,6,1,1961,1961,13
The Drifters,Save The Last Dance For Me,215,7,2,1961,1961,17
Ivo Robic,Mit 17 fängt das Leben erst an,215,8,2,1961,1961,17
Gus Backus,Der Mann im Mond,186,9,1,1961,1961,17
Nana Mouskouri,Weiße Rosen aus Athen,184,10,1,1961,1961,13
Silvio Francesco und seine Guitar Group,"Hello, Mary-Lou!",183,11,2,1961,1961,21
Die Ricky Boys,"Hello, Mary-Lou",183,12,2,1961,1961,21
Jan & Kjeld,"Hello, Mary Lou",183,13,2,1961,1961,21
Caterina Valente,Ein Schiff wird kommen (Hafen von Piräus),178,14,1,1960,1961,13
Melina Mercouri,Ein Schiff wird kommen,178,15,1,1960,1961,13
Lale Andersen,Ein Schiff wird kommen,178,16,1,1960,1961,13
Freddy (Freddy Quinn),La Paloma,176,17,1,1961,1961,17
Ricky Nelson,Hello Mary Lou,175,18,2,1961,1961,17
Connie Francis,Schöner fremder Mann (Someone Else's Guy),151,19,3,1961,1961,18
Gus Backus,Wooden Heart (Muss I denn zum Städtele hinaus),147,20,2,1961,1961,13
Elvis Presley,Wooden Heart,147,21,2,1961,1961,13
Los 'Pepito' Machucambos,Pepito,138,22,2,1961,1961,13
Blue Diamonds,Wie damals in Paris,132,23,3,1961,1961,13
Peter Beil,"Corinna, Corinna",89,24,6,1961,1961,17
Ray Peterson,"Corinna, Corinna",89,25,6,1961,1961,17
Wyn Hoop,Bist du einsam heut' Nacht,84,26,4,1961,1961,13
Peter Alexander,Bist du einsam heut' Nacht,84,27,4,1961,1961,13
Elvis Presley,Are You Lonesome To-Night?,84,28,4,1961,1961,13
Bill Ramsey,Zuckerpuppe (aus der Bauchtanz-Truppe),83,29,5,1961,1961,13
Rene Kollo,"Hello, Mary-Lou",83,30,2,1961,1961,9
Gus Backus,Da sprach der alte Häuptling der Indianer,83,31,3,1961,1961,9
Willy Hagara,Pepe,76,32,3,1961,1961,9
Jörgen Ingmann,Pepe,76,33,3,1961,1961,9
Dalida,Pepe,76,34,3,1961,1961,9
Caterina Valente,Pepe,76,35,3,1961,1961,9
Gerhard Wendland,Tanze mit mir in den Morgen (Mitternachts-Tango),76,36,2,1961,1961,8
Siw Malmkvist,Danke für die Blumen,72,37,4,1961,1961,9
Die Continentals,Hüh-A-Hoh,72,38,1,1961,1961,4
Lonnie Donegan,Michael Row The Boat,60,39,4,1961,1961,8
The Highwaymen,Michael (Hallelujah),60,40,4,1961,1961,8
Gerd Böttcher,Ich komme wieder,60,41,3,1960,1961,5
Duane Eddy,Pepe,60,42,3,1961,1961,5
Elvis Presley,O Sole Mio (It's Now Or Never),60,43,3,1960,1961,5
Old Merry Tale Jazzband,Am Sonntag will mein Süsser mit mir segeln gehn,55,44,4,1961,1961,13
The Shadows,Apache,54,45,6,1960,1961,9
Jörgen Ingmann,Apache,54,46,6,1961,1961,9
Caterina Valente,Einen Ring mit zwei blutroten Steinen,54,47,6,1960,1961,9
Ping Ping,Sucu Sucu,53,48,5,1961,1961,9
Peggy Brown,Denn sie fahren hinaus auf das Meer (Hafenballade),50,49,7,1961,1961,13
Caterina Valente,"Rosalie, mußt nicht weinen",48,50,7,1960,1961,13
Willy Millowitsch,"Schnaps, das war sein letztes Wort",48,51,5,1960,1961,8
Das Hellberg-Duo,Drei weiße Birken,40,52,8,1961,1961,12
Rosner Duo,Drei weiße Birken,40,53,8,1961,1961,12
Monika & Peter,Drei weiße Birken,40,54,8,1961,1961,12
Caterina Valente,Der Sheriff von Arkansas ist 'ne Lady,40,55,6,1961,1961,8
Peter Kraus,Blue Melodie,37,56,7,1961,1961,9
Jolly Sisters,Everybody's Somebody's Fool,35,57,5,1960,1961,5
Connie Francis,Die Liebe ist ein seltsames Spiel,35,58,5,1960,1961,5
Vico Torriani,Cafe Oriental,31,59,8,1961,1961,9
Bill Ramsey und die Mocca-Makers,Cafe Oriental,31,60,8,1961,1961,9
Bert Kaempfert und sein Orchester,Wunderland bei Nacht,30,61,9,1961,1961,13
Bill Ramsey,Pigalle (Die große Mausefalle),30,62,6,1961,1961,5
Caterina Valente,Ein Seemannsherz,28,63,5,1961,1961,4
Rex Gildo,Das Ende der Liebe,26,64,8,1961,1961,9
Freddy (Freddy Quinn),Weit ist der Weg,25,65,7,1960,1961,5
Bob Moore,Mexico,24,66,6,1961,1961,4
Gerd Böttcher,Ich such' dich auf allen Wegen,24,67,6,1961,1961,4
Elvis Presley,Torna A Surriento (Surrender),24,68,6,1961,1961,4
Der Flotte Franz und seine Bierbrummer,So leben wir.... ! (Gute alte Bekannte) 1. Teil,22,69,9,1961,1961,9
Gerd Böttcher & Detlef Engel,Weil du meine große Liebe bist,20,70,8,1961,1961,5
Gerd Böttcher,Adieu - Lebe wohl - Goodbye,20,71,8,1961,1961,5
Peter Kraus,Schwarze Rose Rosemarie,20,72,7,1961,1961,4
Lolita,Über alle sieben Meere,15,73,9,1961,1961,5
Jimmy Makulis,Nachts in Rom,15,74,9,1960,1961,5
Caterina Valente,Kommt ein Schiff nach Amsterdam,12,75,9,1961,1961,4
Hawe Schneider and his Spree City Stompers,Warte warte nur ein Weilchen (Haarmann-Moritat),8,76,10,1961,1961,4
Fred und Rolf mit den Vagabunden,Wir lagen vor Madagaskar,8,77,10,1961,1961,4
Nina & Jimmy,Weites Land,8,78,10,1961,1961,4
Peter Alexander & Bill Ramsey,"Missouri-Cowboy, du mußt dein Pferd verkaufen",8,79,10,1961,1961,4
Nana Mouskouri,Einmal weht der Südwind wieder,297,1,1,1962,1962,22
Nana Mouskouri,Ich schau den weißen Wolken nach,297,2,1,1962,1962,22
Rex Gildo,Speedy Gonzales,259,3,1,1962,1962,18
Pat Boone,Speedy Gonzales,259,4,1,1962,1962,18
Mina,Heisser Sand,251,5,1,1962,1962,17
Gerhard Wendland,Tanze mit mir in den Morgen (Mitternachts-Tango),227,6,1,1961,1962,17
Bob Moore,Mexico,206,7,1,1961,1962,17
Petula Clark,Monsieur,178,8,1,1962,1962,13
Connie Francis,Paradiso,175,9,2,1962,1962,14
Connie Francis,Don't Break The Heart That Loves You (Tu mir nicht weh),175,10,2,1962,1962,14
Peter Niemann,"Jana, schöne Mexicana",174,11,1,1962,1962,13
Conny (Conny Froboess) (Jan & Kjeld),Zwei kleine Italiener,170,12,1,1962,1962,17
Peter Kraus,Sweety,156,13,2,1962,1962,17
Gus Backus,Sauerkraut-Polka,155,14,2,1962,1962,17
Gerhard Wendland,Schau mir noch mal in die Augen (Schläfst du schon?),136,15,3,1962,1962,13
Carmela Corren,Eine Rose aus Santa Monica,128,16,3,1962,1962,13
Pat Boone,Johnny Will,127,17,2,1962,1962,13
Gerd Böttcher,Geld wie Heu,127,18,2,1962,1962,13
Caterina Valente & Silvio Francesco,Einmal weht der Südwind wieder,120,19,2,1962,1962,8
Joey Dee & The Starliters,Ya Ya,111,20,4,1962,1962,18
Will Brandes und die kleine Elisabeth,Baby-Twist,103,21,2,1962,1962,9
Nana Mouskouri,Weiße Rosen aus Athen,92,22,3,1961,1962,12
Gerhard Wendland,Mary Rose,80,23,3,1962,1962,9
Nat 'King' Cole,Ramblin' Rose,80,24,3,1962,1962,9
Waikikis,Hawaii Tattoo,78,25,4,1962,1962,22
Conny (Conny Froboess),Lady Sunshine und Mr. Moon,78,26,3,1962,1962,9
Freddy (Freddy Quinn),Alo-ahe,76,27,5,1962,1962,13
Chris Howland,Hämmerchen-Polka (Das Sparschwein),72,28,4,1961,1962,12
Bill Ramsey,Ohne Krimi geht die Mimi nie ins Bett,72,29,3,1962,1962,8
Günter Kallmann Chor,Elisabeth-Serenade,64,30,3,1961,1962,8
Peppino Di Capri,St. Tropez Twist,64,31,3,1962,1962,8
Ted Herold,Sei doch mein Talisman,58,32,6,1962,1962,13
Elvis Presley with The Jordanaires,Good Luck Charm,58,33,6,1962,1962,13
Peter Kraus,Schwarze Rose Rosemarie,56,34,5,1961,1962,8
Gus Backus,Das Lied vom Angeln (Mit dir möcht' ich am Sonntag angeln gehn'),52,35,4,1962,1962,9
Gerd Böttcher,Ein Dutzend and're Männer,51,36,5,1962,1962,9
Peter Kraus,Silvermoon,50,37,6,1962,1962,13
Peter Hinnen,Auf meiner Ranch bin ich König,43,38,5,1962,1962,9
Catrins Madison Club (Caterina Valente & Silvio Francesco),Madison In Mexico,40,39,4,1962,1962,5
Sacha Distel,Adios Amigo,35,40,5,1962,1962,5
Caterina Valente & Silvio Francesco,Peppermint Twist,32,41,8,1962,1962,9
Connie Francis,Eine Insel für zwei,32,42,7,1961,1962,8
Nana Mouskouri,Am Horizont irgendwo,32,43,4,1962,1962,4
Ray Charles,I Can't Stop Loving You,28,44,8,1962,1962,9
Ivo Robic,Ein ganzes Leben lang,28,45,8,1962,1962,9
Tony Renis,"Quando, Quando, Quando",27,46,9,1962,1962,9
Caterina Valente & Silvio Francesco,Quando - Quando,27,47,9,1962,1962,9
Willy Hagara,Caterina,25,48,7,1962,1962,5
Lou van Burg,Caterina,25,49,7,1962,1962,5
Jack Ross,Happy Jose (Ching-Ching),25,50,7,1962,1962,5
Jack Collier,Happy Jose,25,51,7,1962,1962,5
Die Mexicanos,Happy Jose,25,52,7,1962,1962,5
Lonnie Donegan,Michael Row The Boat,24,53,6,1961,1962,4
The Highwaymen,Michael (Hallelujah),24,54,6,1961,1962,4
Ralf Bendix,Striptease-Susi,20,55,9,1962,1962,8
The Tornados,Telstar,20,56,8,1962,1962,5
Fred Bertelmann,Mary-Rose,20,57,7,1962,1962,4
Bobby Vinton,Roses Are Red,20,58,7,1962,1962,4
Caterina Valente,Rosen sind Rot,20,59,7,1962,1962,4
Gus Backus,"No Wein, No Bier, No Schnaps",20,60,7,1962,1962,4
Los 'Pepito' Machucambos,Pepito,20,61,7,1961,1962,4
Vittorio,"Liebe, die nie vergeht",18,62,10,1962,1962,9
Los Hermanos Rigual,Cuando Calienta El Sol,18,63,10,1962,1962,9
Bob Moore and his Orchestra,Auf meiner kleinen Hacienda,16,64,8,1962,1962,4
Bob Moore,Auf Wiedersehen Marlene,16,65,8,1962,1962,4
Freddy (Freddy Quinn),Keine Bange Liselotte,15,66,9,1962,1962,5
Gus Backus,Linda (Ein Haus in den Rockies),12,67,9,1962,1962,4
Connie Francis,Lili Marleen,12,68,9,1962,1962,4
Billy Vaughn and his Orchestra,Lili Marleen,12,69,9,1962,1962,4
Pirko Manola & Wyn Hoop,Küsse im Mondschein,10,70,10,1962,1962,5
Jan & Kjeld,Küsse im Mondschein,10,71,10,1962,1962,5
Brian Hyland,Ginny Come Lately,10,72,10,1962,1962,5
Jimmy Makulis,Sweetheart-Guitar (Ich habe nur dich und meine Sweetheart-Guitar),8,73,10,1961,1962,4
Manuela,Schuld war nur der Bossa Nova,271,1,1,1963,1963,22
Freddy (Freddy Quinn),Junge komm bald wieder,262,2,1,1963,1963,17
Eydie Gorme,Blame It On The Bossa Nova,223,3,1,1963,1963,18
Lil Malmkwist,Ich will 'nen Cowboy als Mann,218,4,1,1963,1963,17
Gitte,Ich will 'nen Cowboy als Mann,218,5,1,1963,1963,17
Gitte & Rex Gildo,Vom Stadtpark die Laternen,204,6,1,1963,1963,13
Billy Mo,Ich kauf' mir lieber einen Tirolerhut,192,7,1,1963,1963,13
Connie Francis,Barcarole in der Nacht,167,8,1,1963,1963,13
Peter Hinnen,Siebentausend Rinder,151,9,2,1963,1963,13
Cliff Richard,Rote Lippen soll man küssen (Lucky Lips),150,10,1,1963,1963,9
Kyu Sakamoto,Sukiyaki,143,11,2,1963,1963,17
Blue Diamonds,Sukiyaki,143,12,2,1963,1963,17
Petula Clark,Casanova Baciami,135,13,2,1963,1963,9
John Buck & His Blazers,Jalisco,132,14,3,1962,1963,17
Renate & Werner Leismann,Gaucho Mexicano,132,15,3,1962,1963,17
Die Tahiti-Tamoures,Wini-Wini,130,16,1,1963,1963,13
Rex Gildo,Liebe kälter als Eis,128,17,2,1963,1963,13
Elvis Presley,Devil In Disguise,128,18,2,1963,1963,13
Udo Jürgens,Kiss Me Quick,123,19,3,1963,1963,18
Elvis Presley,Kiss Me Quick,123,20,3,1963,1963,18
Connie Francis,Wenn du gehst,123,21,2,1962,1963,13
Rocco Granata,Buona Notte,119,22,5,1963,1963,21
Freddy (Freddy Quinn),Laß mich noch einmal in die Ferne (Allein wie du),116,23,3,1963,1963,13
Rex Gildo,Zwei blaue Vergißmeinnicht,100,24,4,1963,1963,13
Gerd Böttcher,Du schaust mich an,94,25,4,1962,1963,13
Gerd Böttcher,Für Gaby tu ich alles,94,26,4,1962,1963,13
Connie Francis,Die Nacht ist mein,83,27,3,1963,1963,9
Peter Alexander,Wenn erst der Abend kommt,82,28,6,1963,1963,17
Will Brandes und die kleine Elisabeth,Baby-Twist,80,29,2,1962,1963,8
Rex Gildo,Maddalena,79,30,4,1963,1963,13
Rita Pavone,Wenn ich ein Junge wär,75,31,2,1963,1963,5
Petula Clark,Monsieur,72,32,3,1962,1963,8
Trini Lopez,If I Had A Hammer,60,33,4,1963,1963,9
Ralf Paulsen,Bonanza,55,34,7,1963,1963,18
Manuela,Ich geh noch zur Schule,52,35,4,1963,1963,8
Peter Hinnen,Mexico,48,36,3,1963,1963,4
Jacqueline Boyer,Mitsou,44,37,8,1963,1963,13
Nana Mouskouri,Rote Korallen,36,38,6,1963,1963,8
Chris Montez,Let's Dance,33,39,7,1962,1963,9
Paul Kuhn,Es gibt kein Bier auf Hawaii,30,40,6,1963,1963,5
Little Peggy March (Peggy March),I Will Follow Him,30,41,6,1963,1963,5
Petula Clark,Cheerio,30,42,6,1963,1963,5
Siw Malmkvist,Mr. Casanova,28,43,7,1963,1963,8
Joey Dee & The Starliters,Ya Ya,28,44,5,1962,1963,4
Pat Boone,Rosmarie,25,45,7,1963,1963,5
Tommy Roe,Sheila,24,46,9,1962,1963,8
The Tornados,Telstar,24,47,6,1962,1963,4
Martin Lauer,Wenn ich ein Cowboy wär',23,48,9,1963,1963,9
Carmela Corren,Rosen haben Dornen,20,49,8,1963,1963,5
Gerd Böttcher,Meine Braut die kann das besser,20,50,8,1963,1963,5
Bill Ramsey,Maskenball bei Scottland-Yard,20,51,8,1963,1963,5
Conny Froboess & Peter Alexander,"Verliebt, Verlobt, Verheiratet",20,52,7,1963,1963,4
Vico Torriani,Pepino,20,53,7,1963,1963,4
Tony Sheridan,Let's Slop,18,54,10,1963,1963,9
Mike Roger and his 'Machine Guns',Let's Slop,18,55,10,1963,1963,9
Gerhard Wendland,Mary Rose,16,56,8,1962,1963,4
Siw Malmkvist,1999,16,57,8,1963,1963,4
Nat 'King' Cole,Ramblin' Rose,16,58,8,1962,1963,4
Sacha Distel,Adios Amigo,16,59,8,1962,1963,4
Gus Backus,"Er macht mich krank, der Mondschein an der Donau",16,60,8,1963,1963,4
Will Brandes und die kleine Elisabeth,Baby-Babbel-Bossa-Nova,15,61,9,1963,1963,5
Petula Clark,Mille Mille Grazie,12,62,9,1963,1963,4
Grit Van Hoog,"Träumen, ist das nicht wunderschön",12,63,9,1963,1963,4
Peter Hinnen,Im Tal der blauen Berge,10,64,10,1963,1963,5
Peter Hinnen,Dann nehm' ich mein Lasso in die rechte Hand,10,65,10,1963,1963,5
Martin Lauer,Die letzte Rose der Prairie,8,66,10,1962,1963,4
Siw Malmkvist,Liebeskummer lohnt sich nicht,282,1,1,1964,1964,17
Ronny,Oh My Darling Caroline,270,2,1,1964,1964,22
The Beatles,I Want To Hold Your Hand,222,3,1,1964,1964,18
Johnny Tillotson,You Can Never Stop Me Loving You,213,4,1,1963,1964,22
Bernd Spier,Das kannst du mir nicht verbieten,213,5,1,1963,1964,22
Johnny Rivers,Memphis Tennessee,196,6,1,1964,1964,14
Bernd Spier,Memphis Tennessee,196,7,1,1964,1964,14
Peter Lauch und die Regenpfeifer,"Das kommt vom rudern, das kommt vom segeln",195,8,1,1964,1964,13
"Claudio, Rik & Roger",Memphis Tennessee,180,9,1,1964,1964,10
Marika Kilius,Zwei Indianer aus Winnipeg,147,10,2,1964,1964,13
Marika Kilius,Wenn die Cowboys träumen,147,11,2,1964,1964,13
Trini Lopez,A-Me-Ri-Ca,140,12,3,1963,1964,17
Cliff Richard,Rote Lippen soll man küssen (Lucky Lips),140,13,1,1963,1964,13
The Beatles,"Komm, gib mir deine Hand",132,14,1,1964,1964,13
Drafi Deutscher and his Magics,Shake Hands,127,15,2,1964,1964,18
The Beatles,A Hard Day's Night,120,16,2,1964,1964,8
The Rackets,Skinny Minnie,119,17,3,1964,1964,14
Tony Sheridan & The Beat Brothers,Skinny Minnie,119,18,3,1964,1964,14
Roy Orbison,Pretty Woman,115,19,2,1964,1964,10
Gigliola Cinquetti,Non Ho L'eta,108,20,3,1964,1964,9
Gigliola Cinquetti,Luna Nel Blu,108,21,3,1964,1964,9
Rita Pavone,Wenn ich ein Junge wär,108,22,2,1963,1964,8
Paul Anka,"Zwei Mädchen aus Germany (Weisswürscht, Knödel, Sauerkraut)",100,23,4,1964,1964,13
Trini Lopez,If I Had A Hammer,99,24,2,1963,1964,13
Cliff Richard,The Lonely One,95,25,2,1964,1964,13
Cliff Richard,Sag 'no' zu ihm (Zu viel allein),95,26,2,1964,1964,13
Cliff Richard,Don't Talk To Him,95,27,2,1964,1964,13
Freddy (Freddy Quinn),Gib mir dein Wort,90,28,5,1964,1964,18
Marika Kilius & Hans-Jürgen Bäumler,Honeymoon In St. Tropez,90,29,2,1964,1964,9
Pat Boone,Memphis Tennessee,90,30,1,1964,1964,5
Manuela & Die 5 Dops,Schwimmen lernt man im See,84,31,3,1964,1964,9
Hans-Jürgen Bäumler,Wunderschönes fremdes Mädchen,80,32,3,1964,1964,8
Sacha Distel,Der Platz neben mir,74,33,6,1964,1964,13
Manfred Schnelldorfer,Wenn du mal allein bist,64,34,4,1964,1964,13
Conny Froboess,Drei Musketiere,60,35,4,1963,1964,8
Ronny,Kleine Annabell (Kenn ein Land),60,36,3,1964,1964,5
Martin Lauer,Sein bestes Pferd,59,37,5,1964,1964,13
Ensemble Urosevic,Drina-Marsch,59,38,5,1963,1964,13
Ronny,Kein Gold im Blue River,59,39,5,1964,1964,9
Suzie,"Du, du, du gehst vorbei",55,40,5,1964,1964,10
Jörgen Ingmann,Drina-Marsch,51,41,5,1964,1964,9
Manfred Mann,Do Wah Diddy Diddy,50,42,4,1964,1964,10
The Beatles,I Should Have Known Better,50,43,6,1964,1964,9
The Beatles,And I Love Her,50,44,6,1964,1964,9
Soeur Sourire,Dominique,41,45,7,1964,1964,9
Heidi Bachert,My Boy Lollipop,40,46,5,1964,1964,8
Millie,My Boy Lollipop,40,47,5,1964,1964,8
Paul Kuhn,Es gibt kein Bier auf Hawaii,40,48,5,1963,1964,8
The Searchers,Needles And Pins,31,49,8,1964,1964,9
Freddy (Freddy Quinn),"Vergangen vergessen vorüber (So ein Tag, so wunderschön wie heute)",30,50,6,1964,1964,5
Das Orchester Max Greger,Java,30,51,6,1964,1964,5
Al (He's The King) Hirt,Java,30,52,6,1964,1964,5
Drafi Deutscher,Keep Smiling,25,53,7,1964,1964,5
Peter Alexander,Seide und Samt,25,54,7,1964,1964,5
The Beatles,Long Tall Sally,25,55,7,1964,1964,5
Jerry Lee Lewis,Long Tall Sally,25,56,7,1964,1964,5
The Swinging Blue Jeans,Hippy Hippy Shake,22,57,9,1964,1964,9
Pat Harris,Hully Gully Shake,22,58,9,1964,1964,9
Louis Armstrong,"Hello, Dolly!",20,59,8,1964,1964,5
Gerhard Wendland,Mach die Augen zu,20,60,8,1964,1964,5
Peter Hinnen,Die Rose von Mexico,20,61,7,1964,1964,4
Bernd Spier,Schöne Mädchen muss man lieben,20,62,7,1964,1964,4
The Beatles,Sie Liebt Dich,20,63,7,1964,1964,4
The Beatles,She Loves You,20,64,7,1964,1964,4
Peter Alexander,Nachts hör' ich immer alle Uhren schlagen,16,65,8,1963,1964,4
Gitte & Rex Gildo,Jetzt dreht die Welt sich nur um dich,16,66,8,1964,1964,4
Margot Eskens,Mama,15,67,9,1964,1964,5
Pat Boone,Rosmarie,12,68,9,1963,1964,4
Alma Cogan,Tennessee-Waltz,10,69,10,1964,1964,5
The Animals,The House Of The Rising Sun,8,70,10,1964,1964,4
Suzanne Doucet,Das geht doch keinen etwas an,8,71,10,1964,1964,4
The Beatles,Twist And Shout,8,72,10,1963,1964,4
Brian Poole,Twist And Shout,8,73,10,1963,1964,4
Nana Mouskouri,Rote Korallen,8,74,10,1963,1964,4
Nini Rosso,Il Silenzio (Abschiedsmelodie),351,1,1,1965,1965,28
Petula Clark,Downtown,224,2,1,1965,1965,15
Ronny,Kleine Annabell (Kenn ein Land),218,3,1,1964,1965,15
The Rolling Stones,The Last Time,190,4,1,1965,1965,16
The Rolling Stones,Satisfaction (I Can't Get No),180,5,1,1965,1965,11
Sam The Sham & The Pharaohs,Wooly Bully,161,6,2,1965,1965,18
Cliff Richard,Das ist die Frage aller Fragen (Spanish Harlem),160,7,1,1964,1965,13
France Gall,"Pouppee De Cire, Pouppee De Son",134,8,2,1965,1965,15
The Byrds,Mr. Tambourine Man,130,9,2,1965,1965,16
The Beatles,Help!,130,10,2,1965,1965,11
Peggy March,Mit 17 hat man noch Träume,125,11,2,1965,1965,13
Bernd Spier,Das war mein schönster Tanz,118,12,2,1965,1965,14
The Governors,Don't Ha Ha,116,13,2,1965,1965,12
The Beatles,Rock & Roll Music,102,14,2,1965,1965,13
Roy Orbison,Pretty Woman,99,15,2,1964,1965,7
Five Tops,Rag Doll,98,16,4,1964,1965,15
The Beatles,I Feel Fine,90,17,3,1965,1965,15
Peter Alexander,Schenk mir ein Bild von dir,88,18,2,1965,1965,11
Drafi Deutscher,Heute male ich dein Bild Cindy Lou (The Birds And The Bees),86,19,3,1965,1965,11
The Rainbows,Balla Balla,80,20,3,1965,1965,8
Roy Black,Du bist nicht allein,78,21,4,1965,1965,15
Drafi Deutscher and his Magics,"Marmor, Stein und Eisen bricht",78,22,1,1965,1965,6
The Supremes,Stop! In The Name Of Love,69,23,3,1965,1965,9
Wanda Jackson,Santo Domingo,61,24,5,1965,1965,13
Drafi Deutscher and his Magics,Cinderella Baby,60,25,3,1964,1965,8
The Rolling Stones,Get Off Of My Cloud,60,26,2,1965,1965,4
Freddy (Freddy Quinn),Adios Mexico / 5000 Meilen von zu Haus,53,27,5,1965,1965,14
The Beatles,Ticket To Ride,52,28,2,1965,1965,9
Sonny & Cher,I Got You Babe,50,29,3,1965,1965,7
Orchester Roberto Delgado,Letkiss,48,30,3,1965,1965,6
Radi Radenkovic,Bin I Radi - Bin I König,40,31,5,1965,1965,9
"Claudio, Rik & Roger",Memphis Tennessee,40,32,4,1964,1965,5
Johnny Rivers,Memphis Tennessee,40,33,4,1964,1965,5
Pat Boone,Memphis Tennessee,40,34,4,1964,1965,5
Bernd Spier,Memphis Tennessee,40,35,4,1964,1965,5
Cliff Richard & The Shadows,Es war keine so wunderbar wie du,36,36,5,1965,1965,7
Suzie,Ich war allein,36,37,6,1965,1965,7
Freddy (Freddy Quinn),"Vergangen vergessen vorüber (So ein Tag, so wunderschön wie heute)",35,38,5,1964,1965,5
